bug_id,severity
1868180,S2
18191,S1
27424,S1
1887337,S4
1861664,S1
1822717,S2
1420770,S3
1830238,S3
11825,S1
12980,S1
1824271,S4
1922278,S1
1951660,S4
21894,S1
24008,S1
364067,S1
566179,S1
576078,S1
1771799,S2
1204483,S1
1221312,S1
1257907,S1
1269776,S1
684028,S3
1340127,S1
1953966,S4
1415837,S1
1456517,S1
1466487,S1
1489041,S1
1521370,S1
1535800,S1
1588484,S1
1688783,S1
26577,S2
11136,S2
17937,S2
1665064,S2
1665493,S2
1713579,S2
1757778,S2
1782778,S2
688193,S3
1787959,S2
1827583,S2
1831313,S2
1863981,S2
1867006,S2
1883693,S2
1928888,S2
1935443,S2
1936672,S2
1938934,S2
1972807,S2
1975734,S2
1978620,S2
971511,S3
985111,S3
1025247,S3
1127088,S3
1244854,S3
1306114,S3
1337872,S3
1474451,S3
1557050,S3
1560195,S3
1811930,S3
1568517,S3
1685923,S3
1779799,S3
1801250,S3
1849639,S3
1858669,S3
1882433,S3
1877426,S2
1896515,S3
1961140,S3
1974197,S3
1761182,S1
92737,S4
1769241,S4
1786225,S4
1817643,S4
1889191,S4
1823912,S4
1840067,S4
1845274,S4
1890683,S4
1891279,S4
1895720,S4
1847766,S4
1863722,S4
1867696,S4
1881124,S4
1962675,S4
1920391,S4
1943997,S4
1947932,S4
1896069,S4
1981325,S4
11465,blocker
11561,blocker
16519,blocker
17416,blocker
18481,blocker
21172,blocker
27763,blocker
27852,blocker
28510,blocker
28683,blocker
52060,blocker
932781,blocker
937997,blocker
1147714,blocker
1193200,blocker
1377977,blocker
1467514,blocker
1471932,blocker
1490845,blocker
1544222,blocker
1548973,blocker
1560432,blocker
1564396,blocker
1596670,blocker
1604462,blocker
