cluster_id,canonical_phrase,phrase_count,phrases
0,nsFrameManager RemoveFrame,3,"[""nsFrameManager RemoveFrame"", ""nsPlaceholderFrame removal"", ""nsFormFrame RemoveFormControlFrame""]"
1,mozwayland missing symbol stub,2,"[""mozwayland missing symbol stub"", ""MOZ_EXPORT weak symbol stub""]"
2,bug reassignment,2,"[""bug reassignment"", ""transitional bug unexploitable""]"
3,fenix mobile fix,9,"[""Fenix Android icon"", ""Android 11 Fenix specific"", ""fenix mobile fix"", ""fenix mobile fix"", ""fenix mobile fix"", ""fenix mobile fix"", ""fenix mobile fix"", ""fenix mobile fix"", ""fenix mobile fix""]"
4,verified duplicate bug,4,"[""duplicate intermittent"", ""cannot duplicate issue"", ""verified duplicate bug"", ""verified duplicate bug""]"
5,tp5n pageset,3,"[""TP7 pageset Talos integration"", ""tp5o optimized pageset"", ""tp5n pageset""]"
6,audio buffer offset incorrect,2,"[""GC audio buffer gap"", ""audio buffer offset incorrect""]"
7,2-year cert not renewed,2,"[""intermediate signing cert expired"", ""2-year cert not renewed""]"
8,bookmarks backup filename dialog,2,"[""bookmarks backup filename dialog"", ""Organise Bookmarks backup""]"
9,print preview background image mismatch,2,"[""print preview background image mismatch"", ""unreadable print preview result""]"
10,WebRender Everywhere timeline,2,"[""frame 100 webrender mention"", ""WebRender Everywhere timeline""]"
11,back out revision,2,"[""revision moved obsolete"", ""back out revision""]"
12,file deletion race condition,2,"[""file deletion race condition"", ""robust file deletion patch""]"
13,mConnection null deref,2,"[""mConnection null deref"", ""null deref prevention""]"
14,MOZ_CRASHREPORTER_SHUTDOWN,3,"[""MOZ_CRASHREPORTER_SHUTDOWN"", ""MOZ_FORCE_CRASH_GUARD_NIGHTLY"", ""MOZ_CRASHREPORTER_SHUTDOWN""]"
15,resolved bug shown as open,3,"[""11-year open bug"", ""reopen bug"", ""resolved bug shown as open""]"
16,disk cache dependency,2,"[""disk cache dependency"", ""stream-as-file disk cache dependency""]"
17,CTFontManagerSetAutoActivationSetting,2,"[""CTFontManagerSetAutoActivationSetting"", ""CTFontManager enumeration""]"
18,two patches beta incomplete merge,2,"[""114 merge release fix"", ""two patches beta incomplete merge""]"
19,121.0b9 uplift approved,4,"[""121.0b9 uplift approved"", ""RC3 uplift approved"", ""121.0b6 uplift approved"", ""beta 100 uplift approved""]"
20,out-of-memory Write crash,2,"[""out-of-memory Write crash"", ""out-of-memory thrashing""]"
21,identical stack trace duplicate,2,"[""stack trace"", ""identical stack trace duplicate""]"
22,crash guard retry prevention,2,"[""crash guard retry prevention"", ""concurrent live crash guards""]"
23,PDF.js,2,"[""PDF.js"", ""Adobe PDF Library""]"
24,hidden sidebar briefly visible,2,"[""hidden sidebar briefly visible"", ""sidebar launcher brief show""]"
25,AsFileOnly plugin support,2,"[""AsFileOnly plugin support"", ""NP_ASFILE NP_ASFILEONLY legacy plugin""]"
26,GetBrandName brandName,2,"[""GetBrandName brandName"", ""CreateAppFromCommand brandName""]"
27,scroll after scrollend,4,"[""scroll after scrollend"", ""scrollend scroll ordering"", ""mouse wheel scrollend"", ""scroller child scroll position""]"
28,1891 differing pixels,2,"[""1891 differing pixels"", ""13726 differing pixels""]"
29,PDT+ beta1,3,"[""PDT+ beta1"", ""PDT+ beta1 radar"", ""beta1 PDT+ regression""]"
30,Firefox Nightly,2,"[""Firefox Nightly"", ""Firefox Nightly 87 regression""]"
31,WINNT 5.2,2,"[""Windows NT 5.0"", ""WINNT 5.2""]"
32,timed-out,3,"[""timed-out"", ""timeout"", ""timed out 50 tries""]"
