cluster_id,keyphrase,tf_score,bug_id,priority
0,text field,0.103,4722,P1
0,text fields,0.089,8014,P1
0,field inside content,0.086,4722,P1
0,text field,0.077,27771,P5
1,inter,0.065,8427,P2
1,inter application,0.062,8427,P2
2,perf,0.202,10245,P2
2,perf,0.149,3246,P3
2,removing extraneous perf,0.11,10245,P2
2,perf tag,0.11,10245,P2
2,extraneous perf tag,0.11,10245,P2
2,field removing extraneous perf,0.11,10245,P2
3,nsbeta3,0.099,1021,P1
3,nsbeta2,0.089,1515,P2
3,nsbeta3,0.089,8705,P2
3,nsbeta3 nominees,0.085,1021,P1
3,nsbeta3 deadline,0.085,1021,P1
3,nsbeta1,0.081,6647,P3
4,img src,0.146,11371,P5
4,src,0.142,11557,P5
4,img src h2,0.126,11371,P5
4,src h1 jpg,0.126,11371,P5
4,img src h1,0.126,11371,P5
4,img src h1 jpg,0.126,11371,P5
4,html img src,0.097,24126,P5
4,html img src foo,0.097,24126,P5
4,img src foo jpg,0.097,24126,P5
4,src,0.088,10083,P1
5,mailbox,0.15,2652,P2
5,postbox,0.123,11824,P4
5,mail window,0.091,7406,P2
5,mailbox,0.079,6873,P1
6,imagine,0.176,13827,P5
6,imagine tall,0.155,13827,P5
6,imagine line,0.155,13827,P5
7,color,0.158,15286,P4
7,colors,0.113,1021,P1
7,colors,0.111,15286,P4
7,ya pink,0.104,14903,P4
7,red,0.095,11229,P4
7,pink,0.093,11824,P4
7,black,0.09,11229,P4
8,angle bracket,0.163,15731,P4
8,brackets,0.09,13068,P4
9,logging,0.113,10756,P5
9,activity log,0.113,24979,P5
9,log,0.092,10756,P5
10,mouse wheel,0.277,17165,P4
10,mouse wheel scrolling,0.223,17165,P4
10,mousewheel,0.193,17165,P4
10,mouse wheel available,0.132,17165,P4
10,mouse wheel scrolling broken,0.132,17165,P4
10,mousewheel unless,0.132,17165,P4
11,zoom,0.066,4821,P1
11,zooming,0.057,4821,P1
11,text zoom,0.05,4821,P1
11,page zoom,0.047,4821,P1
11,zoomed,0.046,4821,P1
11,document body style zoom,0.04,4821,P1
12,netscape en,0.186,7378,P3
12,netscape exe,0.125,101,P3
12,netscape en x11,0.119,7378,P3
12,netscape cfg,0.104,6117,P1
12,module netscape,0.074,101,P3
12,module netscape exe,0.074,101,P3
12,keyword netscape,0.059,2875,P3
13,macos86,0.099,11427,P4
13,macos,0.079,7297,P3
13,macos,0.061,12309,P4
13,osx,0.053,12309,P4
14,menus,0.199,14903,P4
14,menu items,0.156,5563,P3
14,menu item,0.111,5563,P3
14,menu,0.079,7297,P3
14,optionlist menu,0.077,12230,P5
14,menus,0.075,4252,P3
15,operation,0.126,5563,P3
15,operating,0.053,12309,P4
16,pref ui,0.265,20276,P5
16,prefs,0.094,10276,P1
17,cold start,0.072,7251,P3
17,cold start profiling,0.051,7251,P3
18,line breaks,0.09,13068,P4
18,line text,0.076,27771,P5
18,single line,0.072,27771,P5
18,line break,0.05,9101,P2
19,image information,0.164,24126,P5
19,images,0.105,24126,P5
19,image viewers,0.088,18287,P5
19,image,0.082,24125,P5
19,images,0.081,24125,P5
19,images,0.07,8131,P2
20,mime,0.123,9897,P2
20,mime table,0.113,9897,P2
20,mime type,0.097,9897,P2
21,ftp hobbes,0.099,6141,P1
21,ftp hobbes nmsu edu,0.099,6141,P1
22,text widget,0.121,4722,P1
22,textbox,0.073,27771,P5
23,width,0.136,10140,P1
23,widths,0.132,10140,P1
23,width,0.088,24125,P5
23,length,0.087,2864,P3
23,width,0.083,12752,P5
23,width,0.05,9458,P1
24,html style,0.149,4267,P3
24,css3,0.13,15286,P4
24,css1,0.099,1515,P2
24,html css,0.083,6625,P2
24,css1 keyword,0.082,1515,P2
24,css,0.082,15284,P4
24,quirk css,0.073,6625,P2
24,css2,0.073,2055,P5
24,quirks css,0.064,6625,P2
25,nsinstallprogressdialog,0.08,5577,P2
25,nsinstallexecute nsinstallfile nsinstallfileopitem,0.08,9589,P2
25,nsinstalldelete,0.08,9589,P2
25,nsinstalldelete nsinstallexecute,0.08,9589,P2
25,nsinstalldelete nsinstallexecute nsinstallfile,0.08,9589,P2
25,nsinstalldelete nsinstallexecute nsinstallfile nsinstallfileopitem,0.08,9589,P2
25,nsinstallfile nsinstallfileopitem nsinstallpatch nsinstalluninstall,0.08,9589,P2
26,profileselect,0.238,24979,P5
26,profile,0.191,24979,P5
27,pixel height,0.134,12752,P5
27,illegible pixel,0.108,12752,P5
27,illegible pixel height,0.108,12752,P5
27,pixels,0.098,12752,P5
28,dirty,0.169,10261,P1
28,dirty rects,0.158,10261,P1
29,declaration,0.149,5416,P4
29,declaration syntax allows,0.101,5416,P4
29,native declaration,0.101,5416,P4
29,native declaration syntax,0.101,5416,P4
29,declarations,0.066,6625,P2
30,current user,0.144,5579,P2
30,currentuser,0.116,5579,P2
30,an8bitscript currentuser,0.116,5579,P2
31,open location,0.168,11427,P4
31,does open,0.126,10217,P1
32,dynamic,0.077,16959,P5
32,dynamic content,0.07,16959,P5
32,dynamic content instead,0.07,16959,P5
33,style user modify read,0.131,15284,P4
33,read write,0.077,15284,P4
33,modify read write,0.077,15284,P4
33,user modify read write,0.077,15284,P4
34,mouse button,0.129,21827,P5
34,mouse,0.099,13093,P5
34,onmousemove,0.086,10158,P1
35,nscrt,0.134,11557,P5
35,nsiresult,0.13,13423,P4
36,inherit properties,0.108,11229,P4
36,properties,0.079,15284,P4
37,55px,0.149,18287,P5
37,10mpx,0.108,12752,P5
37,2px,0.07,6625,P2
37,10px,0.054,9458,P1
38,tasks reassigning,0.382,11417,P5
38,tasks,0.324,7252,P3
38,tasks adding,0.139,9673,P2
38,task,0.103,5563,P3
39,type box,0.08,6141,P1
39,type field,0.057,9412,P1
40,inline style,0.106,4267,P3
40,inline elements,0.103,6647,P3
40,inline block,0.088,9458,P1
40,inline box,0.088,15116,P4
40,display inline block,0.069,9458,P1
40,inline box,0.054,9458,P1
40,implement inline block,0.05,9458,P1
41,weather image,0.149,18287,P5
41,complex javascript weather,0.149,18287,P5
41,complex javascript weather image,0.149,18287,P5
42,native foo,0.172,5416,P4
42,foo,0.113,24126,P5
42,ref native foo,0.101,5416,P4
43,dll,0.152,10342,P2
43,dll,0.139,10162,P1
43,ender dll,0.139,10162,P1
43,dll ender,0.13,10162,P1
43,dll ender dll,0.13,10162,P1
43,ender dll ender dll,0.119,10162,P1
43,dll kernel32 dll,0.113,10342,P2
43,dll,0.09,5577,P2
44,jpg,0.18,11371,P5
44,h1 jpg,0.178,11371,P5
44,h2 jpg,0.156,11371,P5
45,gifcom,0.083,10083,P1
45,gifcom gif,0.083,10083,P1
45,libimg gifcom gif cpp,0.083,10083,P1
45,modules libimg gifcom gif,0.083,10083,P1
46,ini file,0.172,5148,P3
46,ini file editor,0.172,5148,P3
46,ini,0.172,15853,P4
46,ini section,0.151,15853,P4
46,config ini section,0.089,15853,P4
47,metrics,0.097,15116,P4
47,font metrics,0.088,15116,P4
48,files,0.107,5107,P3
48,filename,0.097,23207,P5
48,filenames,0.08,23207,P5
48,file naming,0.073,23207,P5
49,vertical,0.115,14903,P4
49,baseline,0.099,10207,P2
49,vertical align baseline,0.077,10207,P2
50,modifing,0.132,15083,P4
50,modifier,0.067,6053,P2
51,caret,0.187,15284,P4
51,caret,0.154,8014,P1
51,caret painting,0.131,15284,P4
52,single click,0.157,20276,P5
52,click item,0.157,20276,P5
52,single click item,0.157,20276,P5
52,click menu item,0.098,13068,P4
53,launch time,0.186,10245,P2
53,start time,0.051,7251,P3
54,application context,0.132,17165,P4
54,add context,0.108,10026,P4
54,context extension,0.108,10026,P4
55,set correct height,0.163,10014,P1
55,height,0.101,17092,P4
55,minimum height,0.087,17092,P4
55,height,0.084,24125,P5
55,height width height,0.077,24125,P5
56,page source,0.121,13068,P4
56,page content,0.087,17092,P4
56,containing page,0.073,27771,P5
57,queryinterface components interfaces,0.084,21081,P5
57,getinterface,0.068,21081,P5
57,requestor getinterface components,0.068,21081,P5
58,file editor,0.172,5148,P3
58,editor,0.111,10321,P2
58,editor enhancement,0.101,5148,P3
58,editor enhancement request,0.101,5148,P3
58,editor enhancement request ability,0.101,5148,P3
58,editor,0.094,10756,P5
58,editor,0.087,13093,P5
58,text editor,0.085,13068,P4
59,platforms,0.089,10158,P1
59,platform sensitive,0.085,1021,P1
59,platform sensitive change,0.085,1021,P1
59,platform integration,0.066,4252,P3
59,platform,0.052,12309,P4
60,dom changes,0.104,21081,P5
60,dom,0.084,10756,P5
60,dom,0.077,16603,P4
61,div,0.074,10207,P2
61,td div,0.072,10207,P2
61,div,0.069,2056,P3
62,italic,0.145,15116,P4
62,italic text,0.135,15116,P4
62,pt bold italic,0.131,12230,P5
62,italicized text,0.096,15116,P4
62,italic correction,0.096,15116,P4
63,compatibility mode,0.108,11229,P4
63,compatibility,0.103,18287,P5
64,win95 00 950,0.134,10037,P2
64,windows 98,0.067,6053,P2
65,usr,0.126,12939,P4
65,usr bin,0.126,12939,P4
66,mass reassign,0.141,5416,P4
66,mass changing,0.139,9673,P2
66,mass moving,0.1,11824,P4
66,mass moving,0.077,7297,P3
67,scrollable area,0.183,10026,P4
67,scroll,0.161,10026,P4
67,scrollbar,0.156,10026,P4
67,scroll,0.139,17165,P4
67,vertical scroll,0.123,17089,P4
67,scrollbar appears,0.108,10026,P4
67,scroll arrow,0.107,17089,P4
67,vertical scroll bar,0.107,17089,P4
67,scrollbar,0.103,21827,P5
67,scroll bar,0.101,17092,P4
67,scroll,0.093,21827,P5
67,horizontal scroll,0.087,17092,P4
67,horizontal scroll bar,0.087,17092,P4
67,vertical scroll arrow,0.086,17089,P4
67,scroll arrows,0.086,17089,P4
67,scrollable,0.081,27771,P5
67,scrolling,0.071,27771,P5
