cluster_id,canonical_phrase,phrase_count,phrases
0,text field,4,"[""text field"", ""field inside content"", ""text fields"", ""text field""]"
1,inter,2,"[""inter"", ""inter application""]"
2,extraneous perf tag,6,"[""perf"", ""removing extraneous perf"", ""perf tag"", ""extraneous perf tag"", ""field removing extraneous perf"", ""perf""]"
3,nsbeta3,6,"[""nsbeta3"", ""nsbeta3 nominees"", ""nsbeta3 deadline"", ""nsbeta2"", ""nsbeta3"", ""nsbeta1""]"
4,img src,10,"[""src"", ""img src"", ""img src h2"", ""src h1 jpg"", ""img src h1"", ""img src h1 jpg"", ""src"", ""html img src"", ""html img src foo"", ""img src foo jpg""]"
5,mailbox,4,"[""mailbox"", ""mailbox"", ""mail window"", ""postbox""]"
6,imagine,3,"[""imagine"", ""imagine tall"", ""imagine line""]"
7,color,7,"[""colors"", ""red"", ""black"", ""pink"", ""ya pink"", ""color"", ""colors""]"
8,brackets,2,"[""brackets"", ""angle bracket""]"
9,logging,3,"[""logging"", ""log"", ""activity log""]"
10,mouse wheel,6,"[""mouse wheel"", ""mouse wheel scrolling"", ""mousewheel"", ""mouse wheel available"", ""mouse wheel scrolling broken"", ""mousewheel unless""]"
11,zoom,6,"[""zoom"", ""zooming"", ""text zoom"", ""page zoom"", ""zoomed"", ""document body style zoom""]"
12,netscape exe,7,"[""netscape cfg"", ""netscape exe"", ""module netscape"", ""module netscape exe"", ""keyword netscape"", ""netscape en"", ""netscape en x11""]"
13,macos,4,"[""macos"", ""macos86"", ""macos"", ""osx""]"
14,menu,6,"[""menus"", ""menu items"", ""menu item"", ""menu"", ""menus"", ""optionlist menu""]"
15,operation,2,"[""operation"", ""operating""]"
16,prefs,2,"[""prefs"", ""pref ui""]"
17,cold start,2,"[""cold start"", ""cold start profiling""]"
18,line break,4,"[""line break"", ""line breaks"", ""line text"", ""single line""]"
19,images,6,"[""images"", ""image viewers"", ""image"", ""images"", ""image information"", ""images""]"
20,mime type,3,"[""mime"", ""mime table"", ""mime type""]"
