cluster_id,canonical_phrase,phrase_count,phrases
0,Frame Management Removal,3,"[""nsFrameManager RemoveFrame"", ""nsPlaceholderFrame removal"", ""nsFormFrame RemoveFormControlFrame""]"
1,Wayland Symbol Stub Missing,2,"[""mozwayland missing symbol stub"", ""MOZ_EXPORT weak symbol stub""]"
2,Bug Reassignment Status,2,"[""bug reassignment"", ""transitional bug unexploitable""]"
3,Fenix Android Fixes,9,"[""Fenix Android icon"", ""Android 11 Fenix specific"", ""fenix mobile fix"", ""fenix mobile fix"", ""fenix mobile fix"", ""fenix mobile fix"", ""fenix mobile fix"", ""fenix mobile fix"", ""fenix mobile fix""]"
4,Duplicate Bug Verification,4,"[""duplicate intermittent"", ""cannot duplicate issue"", ""verified duplicate bug"", ""verified duplicate bug""]"
5,Talos TP Pageset Integration,3,"[""TP7 pageset Talos integration"", ""tp5o optimized pageset"", ""tp5n pageset""]"
6,Audio Buffer Offset Error,2,"[""GC audio buffer gap"", ""audio buffer offset incorrect""]"
7,Certificate Renewal Expiration,2,"[""intermediate signing cert expired"", ""2-year cert not renewed""]"
8,Bookmarks Backup Management,2,"[""bookmarks backup filename dialog"", ""Organise Bookmarks backup""]"
9,Print Preview Rendering Mismatch,2,"[""print preview background image mismatch"", ""unreadable print preview result""]"
10,WebRender Implementation Timeline,2,"[""frame 100 webrender mention"", ""WebRender Everywhere timeline""]"
11,Revision Backout Management,2,"[""revision moved obsolete"", ""back out revision""]"
12,File Deletion Race Condition,2,"[""file deletion race condition"", ""robust file deletion patch""]"
13,Connection Null Pointer Dereference,2,"[""mConnection null deref"", ""null deref prevention""]"
14,Crash Reporter Shutdown,3,"[""MOZ_CRASHREPORTER_SHUTDOWN"", ""MOZ_FORCE_CRASH_GUARD_NIGHTLY"", ""MOZ_CRASHREPORTER_SHUTDOWN""]"
15,Bug Open/Reopen Status,3,"[""11-year open bug"", ""reopen bug"", ""resolved bug shown as open""]"
16,Disk Cache Stream Dependency,2,"[""disk cache dependency"", ""stream-as-file disk cache dependency""]"
17,CTFontManager Activation Enumeration,2,"[""CTFontManagerSetAutoActivationSetting"", ""CTFontManager enumeration""]"
18,Release Merge Fix,2,"[""114 merge release fix"", ""two patches beta incomplete merge""]"
19,Release Uplift Approval,4,"[""121.0b9 uplift approved"", ""RC3 uplift approved"", ""121.0b6 uplift approved"", ""beta 100 uplift approved""]"
20,Out Of Memory Crash,2,"[""out-of-memory Write crash"", ""out-of-memory thrashing""]"
21,Duplicate Stack Trace,2,"[""stack trace"", ""identical stack trace duplicate""]"
22,Crash Guard Prevention,2,"[""crash guard retry prevention"", ""concurrent live crash guards""]"
23,PDF Rendering Library,2,"[""PDF.js"", ""Adobe PDF Library""]"
24,Sidebar Visibility Glitch,2,"[""hidden sidebar briefly visible"", ""sidebar launcher brief show""]"
25,Legacy Plugin File Support,2,"[""AsFileOnly plugin support"", ""NP_ASFILE NP_ASFILEONLY legacy plugin""]"
26,Brand Name Identification,2,"[""GetBrandName brandName"", ""CreateAppFromCommand brandName""]"
27,Scrollend Event Ordering,4,"[""scroll after scrollend"", ""scrollend scroll ordering"", ""mouse wheel scrollend"", ""scroller child scroll position""]"
28,Pixel Rendering Differences,2,"[""1891 differing pixels"", ""13726 differing pixels""]"
29,Beta PDT Regression,3,"[""PDT+ beta1"", ""PDT+ beta1 radar"", ""beta1 PDT+ regression""]"
30,Nightly Regression Tracking,2,"[""Firefox Nightly"", ""Firefox Nightly 87 regression""]"
31,Windows NT Compatibility,2,"[""Windows NT 5.0"", ""WINNT 5.2""]"
32,Process Timeout Failure,3,"[""timed-out"", ""timeout"", ""timed out 50 tries""]"
33,Mac Cookie Project Build,2,"[""cookie project Mac"", ""cookie project added build""]"
34,Android Emulator Configuration,2,"[""android-34 x86_64 AVD"", ""android-em-7-0-x86_64-qr""]"
35,Windows Build Launch Failure,2,"[""WinNT mozilla build crash"", ""mozilla build launches commercial fails""]"
36,Core Stack Dump,2,"[""core dump"", ""stack dump""]"
37,Frame Poisoning Memory Security,2,"[""frame poisoned address"", ""frame poisoning backport""]"
38,Nimbus Experiment Schema Update,3,"[""NimbusExperiment schema import"", ""NimbusEnrollment schema update"", ""nimbus-shared package schema""]"
39,Bookmark Title Mismatch,3,"[""bookmark default title wrong"", ""checkBookmark title mismatch"", ""browser_bookmark_titles.js""]"
40,CSS Grid Layout Broken,2,"[""CSS grid layout broken"", ""Layout: Grid""]"
41,File Locked Error,2,"[""NS_ERROR_FILE_IS_LOCKED"", ""nsIFile.remove locked""]"
42,MLGPU Layer Interface Separation,2,"[""RefLayerMLGPU ContainerLayerMLGPU separation"", ""AsContainerLayerMLGPU common interface""]"
43,Shadow Database Query Lag,2,"[""shadow database query lag"", ""read-only shadow database stale""]"
44,Beta Shutdown Topcrash,2,"[""topcrash no longer"", ""topcrash beta shutdown""]"
45,Sent Folder Synchronization,2,"[""copy to sent folder"", ""sent folder checkbox""]"
46,Fission Test Execution,2,"[""skip test fission"", ""run sequentially fission""]"
47,WGPU Device Drop,2,"[""wgpu_core device_drop"", ""wgpu Global device drop""]"
48,History Deletion UI,2,"[""delete history"", ""Delete History button spacing""]"
49,Module Assertion Failure,2,"[""ModuleObject assertion failure"", ""module hook assertion replaced""]"
50,Channel Ifdef Configuration,2,"[""channel ifdefs configure"", ""ifdef guard wrong channel""]"
51,Worksforme Bug Resolution,3,"[""WORKSFORME"", ""WORKSFORME"", ""resolved WORKSFORME""]"
52,Hardened Runtime Security,2,"[""Enhanced Runtime"", ""hardened runtime""]"
53,WebGL Out-of-Process Dispatch,2,"[""webgl.out-of-process false workaround"", ""WebGL out-of-process command dispatch""]"
54,Dot Release Uplift,2,"[""66 dot release uplift"", ""131.0.3 dot release uplift""]"
55,Autobisect Bisection Results,2,"[""autobisectjs bisection result"", ""autobisectjs bisect Windows""]"
56,QA Ownership Reassignment,2,"[""QA owner reassignment"", ""QA contact reassignment""]"
57,Null Pointer Crash,2,"[""Finish0RTT null crash"", ""null near-null crash""]"
58,Browser Launch Failure,2,"[""browser fails to launch"", ""no browser restart needed""]"
59,Toolbar UI Crash,2,"[""menu bar crash"", ""Linux toolbar crash""]"
60,Browser Rendering Disparity,2,"[""Chrome vs Firefox icon"", ""Chrome vs Firefox rendering""]"
61,High CPU Usage Hang,2,"[""100% CPU hang"", ""100% CPU core freeze""]"
62,Bug Verification Status,3,"[""verified as fixed"", ""verified invalid"", ""verified fixed Nightly 63""]"
63,Click Event Crash,2,"[""click bugzilla report crash"", ""immediate crash on click""]"
64,RemoteTab Null FrameLoader,2,"[""remoteTab null frameLoader"", ""remoteTab null frameLoader""]"
65,SVG Rendering Comparison,2,"[""SVG PNG preference"", ""SVG as-image comparison""]"
66,Null Embedder Crash,2,"[""embedder always set"", ""null embedder crash""]"
67,NPP Write Buffer Offset,2,"[""NPP_WriteReady buffer consumed"", ""NPP_Write offset len""]"
68,Phabricator Account Disabled,1,"[""Phabricator account disabled""]"
69,Fission Layers Incompatibility,2,"[""Advanced Layers Fission incompatibility"", ""layers.advanced.fission.enabled pref""]"
70,Translation UI Menu,2,"[""translate button"", ""View Translate menu""]"
71,WebCompat Report Submission,2,"[""WebCompat Reporter"", ""webcompat submission""]"
72,Experiment Branch Enrollment,2,"[""treatment-a branch force enroll"", ""treatment branch not applied""]"
73,Application Timeout Failure,2,"[""763328ms application timeout"", ""399482ms application timeout""]"
74,Nimbus Feature Configuration,2,"[""Nimbus feature flag misconfiguration"", ""nimbus config flag direct usage""]"
75,ETP Workaround Assessment,2,"[""ETP not related"", ""ETP OFF workaround""]"
76,Linux Commercial Build Blocker,2,"[""commercial build Linux"", ""Linux commercial build blocker""]"
