cluster_id,canonical_phrase,phrase_count,phrases
0,Text Field,4,"[""text field"", ""field inside content"", ""text fields"", ""text field""]"
1,Inter Application,2,"[""inter"", ""inter application""]"
2,Perf Tag,6,"[""perf"", ""removing extraneous perf"", ""perf tag"", ""extraneous perf tag"", ""field removing extraneous perf"", ""perf""]"
3,Nsbeta3 Nominees,6,"[""nsbeta3"", ""nsbeta3 nominees"", ""nsbeta3 deadline"", ""nsbeta2"", ""nsbeta3"", ""nsbeta1""]"
4,Img Src,10,"[""src"", ""img src"", ""img src h2"", ""src h1 jpg"", ""img src h1"", ""img src h1 jpg"", ""src"", ""html img src"", ""html img src foo"", ""img src foo jpg""]"
5,Mail Window,4,"[""mailbox"", ""mailbox"", ""mail window"", ""postbox""]"
6,Imagine Tall,3,"[""imagine"", ""imagine tall"", ""imagine line""]"
7,Ya Pink,7,"[""colors"", ""red"", ""black"", ""pink"", ""ya pink"", ""color"", ""colors""]"
8,Angle Bracket,2,"[""brackets"", ""angle bracket""]"
9,Activity Log,3,"[""logging"", ""log"", ""activity log""]"
10,Mouse Wheel,6,"[""mouse wheel"", ""mouse wheel scrolling"", ""mousewheel"", ""mouse wheel available"", ""mouse wheel scrolling broken"", ""mousewheel unless""]"
11,Text Zoom,6,"[""zoom"", ""zooming"", ""text zoom"", ""page zoom"", ""zoomed"", ""document body style zoom""]"
12,Netscape Cfg,7,"[""netscape cfg"", ""netscape exe"", ""module netscape"", ""module netscape exe"", ""keyword netscape"", ""netscape en"", ""netscape en x11""]"
13,Macos,4,"[""macos"", ""macos86"", ""macos"", ""osx""]"
14,Menu Items,6,"[""menus"", ""menu items"", ""menu item"", ""menu"", ""menus"", ""optionlist menu""]"
15,Operation,2,"[""operation"", ""operating""]"
16,Pref Ui,2,"[""prefs"", ""pref ui""]"
17,Cold Start,2,"[""cold start"", ""cold start profiling""]"
18,Line Break,4,"[""line break"", ""line breaks"", ""line text"", ""single line""]"
19,Image Viewers,6,"[""images"", ""image viewers"", ""image"", ""images"", ""image information"", ""images""]"
20,Mime Table,3,"[""mime"", ""mime table"", ""mime type""]"
21,Ftp Hobbes,2,"[""ftp hobbes"", ""ftp hobbes nmsu edu""]"
22,Text Widget,2,"[""text widget"", ""textbox""]"
23,Width,6,"[""width"", ""width"", ""widths"", ""length"", ""width"", ""width""]"
24,Css1 Keyword,9,"[""css1"", ""css1 keyword"", ""html css"", ""quirk css"", ""quirks css"", ""html style"", ""css"", ""css3"", ""css2""]"
25,Nsinstalldelete Nsinstallexecute,7,"[""nsinstallprogressdialog"", ""nsinstallexecute nsinstallfile nsinstallfileopitem"", ""nsinstalldelete"", ""nsinstalldelete nsinstallexecute"", ""nsinstalldelete nsinstallexecute nsinstallfile"", ""nsinstalldelete nsinstallexecute nsinstallfile nsinstallfileopitem"", ""nsinstallfile nsinstallfileopitem nsinstallpatch nsinstalluninstall""]"
26,Profileselect,2,"[""profileselect"", ""profile""]"
27,Pixel Height,4,"[""pixel height"", ""illegible pixel"", ""illegible pixel height"", ""pixels""]"
28,Dirty Rects,2,"[""dirty"", ""dirty rects""]"
29,Native Declaration,5,"[""declarations"", ""declaration"", ""declaration syntax allows"", ""native declaration"", ""native declaration syntax""]"
30,Current User,3,"[""current user"", ""currentuser"", ""an8bitscript currentuser""]"
31,Does Open,2,"[""does open"", ""open location""]"
32,Dynamic Content,3,"[""dynamic"", ""dynamic content"", ""dynamic content instead""]"
